French,English
chercher,search
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
heures,hours
vont,will
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
vieux,old
sois,be
matin,morning
tellement,so much
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
terre,Earth
donne,given
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
